ct2010full,boro,count,pop0518,Pct_PrivVeh,medhhinc1,AADT1,frag_index
36005039200,Bronx,6,373,0.3391,35515,10157,1.664
36005039300,Bronx,21,1842,0.1336,19025,35267,2.2924
36005039400,Bronx,6,886,0.2692,34348,10157,-0.4321
36005039500,Bronx,35,856,0.3632,23529,14936,3.2403
36005039600,Bronx,15,796,0.3564,24909,8385,2.3638
36005039700,Bronx,9,194,0.119,18945,16467,5.8909
36005039800,Bronx,4,644,0.583,70230,8385,-0.341
36005039901,Bronx,33,1086,0.1469,24936,35682,0.33
36005039902,Bronx,42,1145,0.139,24852,35682,0.8945
36005040100,Bronx,8,970,0.1436,36220,30481,0.8463
36005040302,Bronx,5,962,0.1206,22318,24147,2.1279
36005040303,Bronx,3,883,0.1469,37045,14621,1.215
36005040304,Bronx,27,771,0.192,36481,14621,3.4331
36005040400,Bronx,7,614,0.4646,35329,9491,-0.2837
36005040501,Bronx,14,933,0.1804,29647,6989,2.1398
36005040502,Bronx,12,1423,0.1146,22626,6989,2.317
36005040600,Bronx,15,754,0.3279,28966,3531,1.6831
36005040701,Bronx,6,637,0.1754,31045,14621,1.2326
36005040702,Bronx,13,1326,0.2295,27951,15782,1.8099
36005040800,Bronx,18,901,0.2478,30428,10157,-0.1276
36005040900,Bronx,27,559,0.2639,50669,21920,-0.7823
36005041100,Bronx,3,541,0.3258,32127,15782,1.3571
36005041300,Bronx,7,1330,0.211,37719,15782,1.5511
36005041400,Bronx,12,952,0.4423,54583,14048,-0.3779
36005041500,Bronx,10,969,0.1505,33890,17526,2.1988
36005041800,Bronx,9,695,0.3475,38178,83184,-0.7373
36005041900,Bronx,34,1198,0.1549,37143,27496,1.2353
36005042000,Bronx,20,703,0.2763,24670,22033,3.06
36005042100,Bronx,31,1079,0.1175,39231,23561,2.7957
36005042200,Bronx,9,534,0.3486,52656,17142,-1.1354
36005042300,Bronx,8,767,0.2629,40151,20042,0.0933
36005042400,Bronx,11,406,0.4054,57500,17142,-1.7349
36005042500,Bronx,19,1454,0.1763,35392,27496,1.8169
36005042600,Bronx,4,1118,0.4945,61250,17142,-4.498
36005042800,Bronx,11,380,0.431,61515,14172,-1.4728
36005042901,Bronx,5,671,0.1742,37317,20042,0.2076
36005042902,Bronx,7,738,0.2516,26823,20042,1.8604
36005043000,Bronx,8,510,0.4766,51399,17142,-2.9271
36005043100,Bronx,5,1667,0.1968,32745,20042,0.5142
36005043400,Bronx,12,696,0.4257,45136,14851,0.009
36005043600,Bronx,1,371,0.42,57645,10326,-3.0883
36005044200,Bronx,3,720,0.2935,38849,14851,-1.3697
36005044400,Bronx,11,688,0.3757,59656,14851,-1.1242
36005044800,Bronx,3,330,0.4748,82303,6052,-3.5978
36005044901,Bronx,0,209,0.3948,67537,29411,0.0114
36005044902,Bronx,2,195,0.3826,54844,7925,1.8214
36005045101,Bronx,1,161,0.4845,59788,29411,3.4093
36005045102,Bronx,2,198,0.5096,75673,83184,1.685
36005045600,Bronx,2,546,0.6194,73309,102269,-2.5789
36005045800,Bronx,14,1625,0.1893,19632,15631,0.3374
36005046000,Bronx,8,450,0.2839,39769,15631,1.3495
36005046201,Bronx,32,3315,0.3537,44856,129175,0.0406
36005046202,Bronx,20,1618,0.3684,35096,26045,-1.0866
36005048400,Bronx,18,727,0.4094,69950,15631,-1.4197
36005051600,Bronx,6,565,0.7298,75893,15067,-0.6792
36047000100,Brooklyn,2,311,0.0613,80318,136343,2.2395
36047000200,Brooklyn,10,306,0.0681,35500,141821,0.2532
36047000301,Brooklyn,0,323,0.0795,105509,136343,3.2085
36047000501,Brooklyn,1,213,0.059,110625,4472,2.9706
36047000502,Brooklyn,0,144,0.0571,90375,13921,2.9912
36047000700,Brooklyn,0,306,0.0728,135096,136343,2.0653
36047000900,Brooklyn,4,195,0.0301,117348,27766,3.229
36047001300,Brooklyn,10,82,0.0793,109821,57580,0.716
36047001500,Brooklyn,11,384,0.0995,90993,123631,6.0528
36047002000,Brooklyn,0,337,0.1461,71442,141821,1.1588
36047002100,Brooklyn,3,173,0.1154,204205,136425,1.6233
36047002200,Brooklyn,10,671,0.2067,38702,141821,0.1967
36047002300,Brooklyn,1,934,0.0645,20169,123631,-0.0732
36047002901,Brooklyn,1,725,0.0812,14872,123631,2.8632
36047003000,Brooklyn,1,254,0.4306,65699,14350,-2.6801
36047003100,Brooklyn,6,102,0.1184,71797,53586,3.2232
36047003300,Brooklyn,21,174,0.0733,98472,53586,4.775
36047003400,Brooklyn,3,369,0.4515,84091,49603,-0.1007
36047003500,Brooklyn,13,119,0.0938,60435,52508,1.1965
