census_tract,ped_injury_5to18,youth_pop_5to18,commute_priv_vehicle,med_hhincome,avg_ann_daily_traffic,fragment_index
36005019300,15,1194,0.2156476,17268,92773,1.142847861
36005019400,6,386,0.553691275,51642,104123,0.107100234
36005019500,28,1532,0.178884602,29723,24442,0.601986691
36005019700,16,1687,0.122574956,25000,14621,0.659391166
36005019900,17,1699,0.175020542,23665,19997,-0.271590305
36005020000,14,993,0.215931864,42595,21223,0.714968933
36005020100,4,870,0.238927739,29509,128970,0.82430771
36005020200,15,434,0.304025424,43750,13500,1.761651691
36005020400,4,562,0.343173432,51282,21223,1.404580582
36005020501,12,1513,0.209344115,23904,108802,0.34248849
36005020502,3,358,0.251162791,22519,11684,4.83250565
36005020601,12,548,0.20530303,51300,6060,1.521358725
36005020900,26,839,0.154228856,32025,163224,2.020625082
36005021001,4,1216,0.198753297,49240,21223,0.666280995
36005021002,2,1006,0.169792364,44474,7796,1.645881974
36005021100,8,1254,0.25,22780,128970,1.103149248
36005021200,5,766,0.205777602,50839,7796,-0.010355646
36005021301,8,261,0.221967963,20500,12775,-0.627761593
36005021302,13,1172,0.225317693,30075,163224,0.130397403
36005021501,6,764,0.169741697,28622,20929,1.615022441
36005021502,24,1409,0.166114529,17664,12775,1.498420204
36005021601,9,816,0.197424893,24914,110327,1.971264583
36005021602,29,880,0.114359734,43996,110327,0.822219403
36005021700,21,992,0.178406467,20923,14621,3.662771055
36005021800,13,1289,0.262457208,30802,132142,-0.421816375
36005021900,8,293,0.187610619,29271,14621,1.997360757
36005022000,7,281,0.076363636,23750,110109,0.847249991
36005022101,18,818,0.112009956,26875,14621,-1.036753224
36005022102,10,1328,0.166551961,17978,4445,0.250980024
36005022200,13,693,0.351951033,35994,7796,1.33463393
36005022300,15,1010,0.192752894,29535,14621,-0.144148374
36005022401,11,388,0.213830755,41101,47691,1.547501948
36005022403,4,509,0.055994257,29531,30054,0.729781841
36005022404,6,744,0.273235145,43119,9330,0.653847083
36005022500,18,1711,0.143521595,31309,20406,2.084544237
36005022701,18,1039,0.174903309,29000,15452,0.629127764
36005022702,4,354,0.204747774,30905,163224,0.98503747
36005022703,8,288,0.155234657,45465,163224,-0.188463163
36005022800,4,1059,0.27351392,44601,10110,1.373116729
36005022901,16,1144,0.146573287,24365,21092,1.746987585
36005022902,6,740,0.220383275,22953,163224,0.489125623
36005023000,7,602,0.25748503,52292,24026,-0.764021047
36005023100,12,306,0.146993318,28988,17573,0.281583665
36005023200,4,551,0.367312553,46929,10970,0.479358275
36005023301,24,830,0.220248668,28402,14621,0.997996197
36005023302,0,759,0.131455399,23000,21092,1.641691623
36005023501,7,689,0.197089947,30492,17573,0.505960297
36005023502,17,818,0.129353234,23795,23255,2.08078682
36005023600,13,399,0.247835498,36563,10970,0.588843225
36005023702,4,273,0.154285714,28824,26475,-1.565714252
36005023703,28,997,0.074697528,29926,30481,2.720656351
36005023704,11,800,0.139614856,20263,7905,1.204327258
36005023800,8,566,0.415650407,51917,21223,0.469556908
36005023900,44,1837,0.161690708,21613,30481,1.139086509
36005024000,27,854,0.367215041,33234,110109,-0.003154985
36005024100,17,1395,0.157623948,20469,17573,0.90154231
36005024300,23,1211,0.239050132,21451,15651,0.870205653
36005024400,4,341,0.521303258,62452,10970,-1.254487023
36005024501,16,1049,0.181562676,26324,15651,-0.243803263
36005024502,9,864,0.139812447,26746,15651,1.388788071
36005024600,4,311,0.52919708,63750,10110,-1.495678099
36005024700,1,309,0.328838174,41271,108802,1.287939747
36005024800,1,394,0.431788932,67102,31809,0.9757843
36005025000,7,342,0.277824979,50451,6474,-0.702192323
36005025100,19,1414,0.163043478,32724,15651,0.771465495
36005025200,2,382,0.39486755,61875,10970,-0.899989184
36005025300,26,1290,0.159393661,30131,31382,1.365408741
36005025400,2,301,0.409090909,46719,13719,1.183406953
36005025500,6,1319,0.173291648,20972,28281,1.504287446
36005025600,4,248,0.36637931,41797,21223,0.540160096
36005025700,1,381,0.162393162,27545,134542,2.867028667
36005026100,0,213,0.272943981,67232,21385,0.983087017
36005026300,6,1176,0.15836371,29167,31382,2.068132006
36005026400,11,742,0.5681403,73838,17002,-0.523855245
36005026500,27,1456,0.23092437,33284,31382,0.722724704
36005026601,8,351,0.489225858,51726,10313.5,1.776156931
36005026602,4,653,0.427823812,43909,9127,3.120386806
36005026701,7,769,0.108540925,36964,21385,0.307828795
36005026702,5,1431,0.20120346,34341,11500,0.336118511
36005026900,14,655,0.246971736,34750,134542,2.133873304
36005027300,13,1498,0.240763174,36656,22332,-0.81637115
36005027401,5,673,0.617539027,76477,136227,-2.251347744
36005027402,0,392,0.707446809,71846,3150,-1.027259378
36005027700,4,958,0.167498865,30855,22332,1.533512819
36005027900,2,981,0.232758621,56538,93469,0.613566408
36005028100,1,381,0.230318803,59461,19710,-0.293270844
